股票代码,股票名称,所属行业,得分,5日均成交量,成交量
002686,亿利达,通用设备,54.306,84610.0,59806.0
002687,乔治白,纺织服装,83.005,59775.2,76668.0
002688,金河生物,农牧饲渔,51.071,88333.2,50396.0
002689,远大智能,专用设备,72.566,193026.4,136250.0
002690,美亚光电,专用设备,68.381,44994.2,39715.0
002691,冀凯股份,专用设备,44.201,54455.4,46460.0
002693,双成药业,生物制品,66.169,102837.8,56930.0
002694,顾地科技,装修建材,52.204,43720.2,32946.0
002695,煌上煌,食品饮料,66.142,43351.8,43088.0
002696,百洋股份,农牧饲渔,89.0,44054.2,30098.0
002697,红旗连锁,商业百货,10.194,253955.2,189476.0
002698,博实股份,专用设备,21.669,137564.6,124592.0
002701,奥瑞金,包装材料,90.058,215281.6,161151.0
002702,海欣食品,食品饮料,77.855,161407.4,119959.0
002703,浙江世宝,汽车零部件,67.009,115968.0,68421.0
002705,新宝股份,家电行业,89.093,123879.8,88477.0
002706,良信股份,电网设备,81.399,157520.4,87417.0
002707,众信旅游,旅游酒店,53.734,313452.2,146969.0
002708,光洋股份,汽车零部件,90.152,61512.8,47108.0
002709,天赐材料,化学制品,94.536,306429.2,144872.0
002712,思美传媒,文化传媒,7.974,985213.2,453328.0
002713,东易日盛,装修装饰,37.552,116402.4,163401.0
002714,牧原股份,农牧饲渔,92.353,241638.4,263551.0
002715,登云股份,汽车零部件,71.663,19786.6,11778.0
002716,金贵银业,贵金属,37.267,418151.0,265276.0
002717,岭南股份,环保行业,66.316,641995.4,386836.0
002718,友邦吊顶,装修建材,45.455,12555.4,20591.0
002719,麦趣尔,食品饮料,68.161,179954.4,76116.0
002721,金一文化,珠宝首饰,69.068,165897.0,107361.0
002722,物产金轮,纺织服装,71.595,23746.4,13955.0
002723,小崧股份,家电行业,93.648,42770.4,30862.0
002724,海洋王,电子元件,94.26,32918.8,24586.0
002725,跃岭股份,汽车零部件,76.282,66790.6,49980.0
002726,龙大美食,食品饮料,90.802,51826.4,35964.0
002727,一心堂,医药商业,54.117,129554.8,55782.0
002728,特一药业,中药,55.758,326770.0,207140.0
002729,好利科技,电子元件,99.303,45076.0,27995.0
002730,电光科技,专用设备,65.954,67758.8,75481.0
002731,萃华珠宝,珠宝首饰,63.085,19280.6,14681.0
002732,燕塘乳业,食品饮料,57.302,22087.6,36349.0
002733,雄韬股份,电池,86.198,61829.4,41126.0
002734,利民股份,农药兽药,87.5,33941.2,26831.0
002735,王子新材,包装材料,87.106,20860.6,11393.0
002736,国信证券,证券,60.511,242820.8,463463.0
002737,葵花药业,中药,17.158,175783.2,208943.0
002738,中矿资源,小金属,60.405,197999.6,101278.0
002739,万达电影,文化传媒,23.529,532567.4,482044.0
002741,光华科技,电子化学品,73.954,64898.6,85537.0
002743,富煌钢构,水泥建材,26.596,65021.8,63583.0
002745,木林森,光学光电子,91.762,205413.8,129535.0
002746,仙坛股份,农牧饲渔,56.622,160158.4,106569.0
002747,埃斯顿,通用设备,36.164,172386.8,237642.0
002748,世龙实业,化学原料,90.482,22468.8,14260.0
002749,国光股份,农药兽药,51.118,35319.2,33373.0
002750,龙津药业,中药,83.151,86956.2,61693.0
002752,昇兴股份,包装材料,71.756,83935.0,54628.0
002753,永东股份,橡胶制品,92.061,41510.0,32504.0
002755,奥赛康,化学制药,46.188,85975.8,38720.0
002756,永兴材料,钢铁行业,97.346,171143.4,84848.0
002757,南兴股份,专用设备,58.199,165309.4,245879.0
002758,浙农股份,综合行业,75.235,44786.8,32212.0
002759,天际股份,家电行业,98.702,72305.6,43113.0
002760,凤形股份,通用设备,3.616,58167.8,78913.0
002761,浙江建投,工程建设,75.211,105807.8,141237.0
002762,金发拉比,纺织服装,62.044,120935.6,101797.0
002763,汇洁股份,纺织服装,22.368,65229.0,148951.0
002765,蓝黛科技,光学光电子,98.876,115611.2,58221.0
002766,索菱股份,互联网服务,73.167,74829.6,40005.0
002767,先锋电子,仪器仪表,59.68,23745.2,20832.0
002768,国恩股份,塑料制品,74.064,31633.4,17243.0
002769,普路通,物流行业,58.882,50419.2,34240.0
002771,真视通,互联网服务,51.952,74429.8,55775.0
002772,众兴菌业,农牧饲渔,17.065,194457.4,117190.0
002773,康弘药业,化学制药,23.944,107083.2,74793.0
002774,快意电梯,专用设备,79.483,30165.4,23177.0
002775,文科园林,工程建设,65.942,76931.2,77693.0
002777,久远银海,互联网服务,31.951,286056.0,382126.0
002778,中晟高科,石油行业,71.032,11288.0,12043.0
002779,中坚科技,专用设备,52.027,7872.4,4531.0
002780,三夫户外,纺织服装,76.61,49760.4,84894.0
002782,可立克,消费电子,61.432,87708.8,73242.0
002783,凯龙股份,化学制品,67.246,48176.6,46396.0
002785,万里石,装修建材,76.232,74035.0,63781.0
002786,银宝山新,专用设备,84.952,121018.2,117434.0
002787,华源控股,包装材料,29.032,171124.0,91350.0
002788,鹭燕医药,医药商业,27.576,117720.2,80435.0
002789,建艺集团,装修装饰,69.344,21534.2,28367.0
002790,瑞尔特,装修建材,53.939,49975.6,37331.0
002791,坚朗五金,装修建材,98.872,35680.0,27727.0
002792,通宇通讯,通信设备,43.649,676466.2,227509.0
002793,罗欣药业,化学制药,83.241,82388.0,41859.0
002795,永和智控,通用设备,53.036,74952.8,29956.0
002796,世嘉科技,专用设备,55.857,162360.6,92345.0
002797,第一创业,证券,59.289,467528.4,764459.0
002798,帝欧家居,装修建材,93.006,36076.8,23427.0
002799,环球印务,包装材料,64.994,29229.2,33341.0
002800,天顺股份,物流行业,62.35,92490.4,55168.0
002801,微光股份,电机,95.497,11751.6,7914.0
002802,洪汇新材,化学制品,94.212,17210.4,16046.0
002803,吉宏股份,文化传媒,19.228,552641.2,433902.0
002805,丰元股份,化学原料,96.908,65654.4,36111.0
002806,华锋股份,有色金属,77.74,35701.8,18660.0
002807,江阴银行,银行,61.429,488292.0,589906.0
002808,恒久科技,光学光电子,51.842,193790.4,127431.0
002809,红墙股份,化学制品,56.595,33250.2,44454.0
002810,山东赫达,化学制品,99.061,43807.4,21600.0
002811,郑中设计,装修装饰,64.228,18684.0,26401.0
002812,恩捷股份,电池,97.86,125067.4,67293.0
002813,路畅科技,汽车零部件,51.712,8154.2,5311.0
002815,崇达技术,电子元件,75.431,124199.8,105344.0
002816,和科达,专用设备,95.18,26966.8,31624.0
002817,黄山胶囊,医疗器械,63.969,66835.0,36269.0
002818,富森美,商业百货,35.328,44408.4,65823.0
002819,东方中科,仪器仪表,22.192,78474.4,89810.0
002820,桂发祥,食品饮料,68.568,160304.2,128819.0
002821,凯莱英,医疗服务,99.393,64519.8,29446.0
002822,中装建设,装修装饰,86.618,110545.2,89302.0
002823,凯中精密,电机,74.462,41866.0,28871.0
002824,和胜股份,有色金属,98.794,51661.4,22893.0
002825,纳尔股份,塑料制品,87.407,35964.2,17975.0
002826,易明医药,中药,55.352,49457.8,27278.0
002827,高争民爆,化学制品,47.538,109003.2,52702.0
002828,贝肯能源,采掘行业,65.163,58366.6,33203.0
002829,星网宇达,通信设备,55.429,36509.2,19349.0
002830,名雕股份,装修装饰,59.411,30195.6,35120.0
002831,裕同科技,造纸印刷,84.781,83399.8,41771.0
002832,比音勒芬,纺织服装,10.328,70847.4,38567.0
002833,弘亚数控,专用设备,78.112,46995.4,38617.0
002835,同为股份,计算机设备,43.158,63135.2,226128.0
002836,新宏泽,造纸印刷,60.825,23534.2,14057.0
002837,英维克,专用设备,40.688,312916.6,201060.0
002838,道恩股份,塑料制品,81.077,46830.8,25770.0
002839,张家港行,银行,82.292,331166.8,503888.0
002840,华统股份,食品饮料,57.963,73230.4,53491.0
002841,视源股份,消费电子,83.857,45348.8,29433.0
002842,翔鹭钨业,小金属,76.511,47127.8,27254.0
002843,泰嘉股份,通用设备,55.873,37087.0,35372.0
002845,同兴达,光学光电子,89.979,64027.2,40424.0
002846,英联股份,包装材料,61.378,44082.8,29651.0
002847,盐津铺子,食品饮料,17.523,10300.4,7253.0
002848,高斯贝尔,家电行业,67.92,45752.6,29888.0
002849,威星智能,仪器仪表,30.869,15404.4,7863.0
002850,科达利,电池,57.478,23777.2,16456.0
002851,麦格米特,电源设备,19.639,52597.8,73175.0
002852,道道全,食品饮料,35.355,166670.4,102502.0
002853,皮阿诺,装修建材,40.546,17403.0,16384.0
002855,捷荣技术,消费电子,82.313,33129.4,20480.0
002856,美芝股份,装修装饰,68.727,32536.8,38735.0
002857,三晖电气,电网设备,24.927,17685.6,12736.0
002858,力盛体育,文化传媒,8.395,191811.8,187326.0
002859,洁美科技,电子元件,73.966,59362.8,42809.0
002860,星帅尔,家电行业,93.543,43156.0,38653.0
002861,瀛通通讯,消费电子,84.02,42240.4,24435.0
002862,实丰文化,家用轻工,0.767,31757.6,17574.0
002863,今飞凯达,汽车零部件,67.013,90229.2,70296.0
002864,盘龙药业,中药,60.523,136191.0,73087.0
002865,钧达股份,光伏设备,76.464,95560.0,67836.0
002866,传艺科技,消费电子,64.374,104059.8,58369.0
002867,周大生,珠宝首饰,23.749,169285.6,158816.0
002868,绿康生化,农药兽药,56.809,21312.6,14634.0
002869,金溢科技,电子元件,24.316,88478.0,64969.0
002870,香山股份,汽车零部件,88.979,19883.8,12164.0
002871,伟隆股份,通用设备,72.68,40823.6,34396.0
002873,新天药业,中药,89.311,71244.0,50927.0
002875,安奈儿,纺织服装,71.926,113372.8,105374.0
002876,三利谱,光学光电子,71.706,57574.8,53499.0
002877,智能自控,仪器仪表,61.406,84876.2,49207.0
002878,元隆雅图,专业服务,81.8,97202.4,77146.0
002879,长缆科技,电网设备,80.12,19720.8,11344.0
002880,卫光生物,生物制品,33.677,11060.6,11045.0
002881,美格智能,消费电子,92.078,71953.6,28336.0
002882,金龙羽,电网设备,57.115,68782.8,59280.0
002883,中设股份,工程咨询服务,72.552,36727.8,140512.0
002884,凌霄泵业,通用设备,91.212,19636.2,15379.0
002885,京泉华,消费电子,50.661,68384.8,44729.0
002886,沃特股份,塑料制品,83.002,37577.0,24654.0
002887,绿茵生态,环保行业,42.029,29702.0,34649.0
002888,惠威科技,消费电子,54.075,68587.2,27285.0
002889,东方嘉盛,物流行业,51.16,11292.8,5941.0
002890,弘宇股份,专用设备,52.507,11099.6,7264.0
002891,中宠股份,农牧饲渔,77.475,42122.4,18384.0
002892,科力尔,电机,91.024,92461.6,67837.0
002893,京能热力,公用事业,33.559,64980.0,112616.0
002895,川恒股份,化肥行业,90.422,55743.4,45299.0
002896,中大力德,通用设备,75.495,39502.2,34164.0
002897,意华股份,通信设备,77.841,70852.8,51426.0
002898,赛隆药业,化学制药,82.516,52078.4,27358.0
002899,英派斯,家用轻工,45.783,23862.8,20546.0
002900,哈三联,化学制药,76.965,75197.2,52774.0
002901,大博医疗,医疗器械,76.562,55189.0,44661.0
002902,铭普光磁,通信设备,41.013,210836.6,137041.0
002903,宇环数控,通用设备,35.741,86076.2,57297.0
002905,金逸影视,文化传媒,16.803,109180.6,140872.0
002906,华阳集团,汽车零部件,96.681,62490.2,35776.0
002907,华森制药,中药,78.297,119114.4,41934.0
002908,德生科技,通信服务,27.55,226050.6,186915.0
