s0150,000558,莱茵体育,房地产开发,3.0,2.43,38.88,1.563786,0.8337598
s0151,000559,万向钱潮,汽车零部件,5.36,3.86,32.24,5.2854123,1.0360688
s0152,000560,我爱我家,房地产服务,2.65,2.24,3.72,27.7027027,0.9519691
s0153,000561,烽火电子,通信设备,11.03,4.36,20.97,40.1565322,0.9880309
s0154,000562,宏源证券,,0.0,None,None,None,None
s0155,000563,陕国投Ａ,多元金融,3.03,2.86,3.71,20.0,1.0580931
s0156,000565,渝三峡Ａ,化学制品,5.25,3.83,58.3,2.6069396,1.2359311
s0157,000566,海南海药,化学制药,4.88,3.85,5.59,59.1954023,0.9437922
s0158,000567,海德股份,多元金融,13.33,7.07,35.98,21.6534071,0.8833825
s0159,000568,泸州老窖,酿酒行业,219.9,15.55,327.66,65.4737112,0.8163531
s0160,000569,长城股份,,0.0,None,None,None,None
s0161,000570,苏常柴Ａ,汽车零部件,5.02,3.4,19.25,10.2208202,0.9937164
s0162,000572,海马汽车,汽车整车,4.17,3.97,6.1,9.3896714,0.8565508
s0163,000573,粤宏远Ａ,房地产开发,3.25,2.33,12.31,9.2184369,0.7831759
s0164,000576,甘化科工,综合行业,10.44,4.67,30.96,21.9475086,0.8968489
s0165,000578,盐湖集团,,0.0,None,None,None,None
s0166,000581,威孚高科,汽车零部件,15.52,12.89,49.8,7.1254403,1.0227703
s0167,000582,北部湾港,航运港口,7.43,6.71,31.8,2.8696692,0.8929506
s0168,000584,哈工智能,专用设备,0.0,3.75,35.66,-11.7518019,0.0
s0169,000586,汇源通信,通信设备,14.94,4.02,24.87,52.3741007,0.5764384
s0170,000588,PT粤金曼,,0.0,None,None,None,None
s0171,000589,贵州轮胎,橡胶制品,5.4,3.05,8.43,43.6802974,0.9764103
s0172,000590,启迪药业,中药,8.1,6.35,20.65,12.2377622,0.9759236
s0173,000591,太阳能,电力行业,6.81,2.65,36.79,12.1851201,0.914517
s0174,000592,平潭发展,农牧饲渔,2.28,1.97,48.88,0.6608399,0.7769516
s0175,000593,德龙汇能,燃气,6.38,4.14,19.2,14.873838,1.1620014
s0176,000595,宝塔实业,通用设备,5.45,1.43,21.48,20.0498753,1.1248787
s0177,000596,古井贡酒,酿酒行业,257.58,16.15,308.0,82.7240021,0.8463281
s0178,000597,东北制药,化学制药,5.11,4.35,27.4,3.29718,1.0315086
s0179,000598,兴蓉环境,公用事业,5.32,3.8,24.4,7.3786408,1.2031663
s0180,000599,青岛双星,橡胶制品,4.11,2.98,18.08,7.4834437,0.9614628
s0181,000600,建投能源,电力行业,6.93,3.46,16.45,26.712856,1.1734969
s0182,000601,韶能股份,电力行业,4.22,3.05,14.0,10.6849315,0.8677171
s0183,000602,金马集团,,0.0,None,None,None,None
s0184,000603,盛达资源,有色金属,11.98,6.51,42.45,15.2198108,0.8457967
s0185,000605,渤海股份,公用事业,5.94,4.66,43.67,3.2812099,0.9436401
s0186,000607,华媒控股,文化传媒,5.56,3.19,21.68,12.8177393,1.0540103
s0187,000608,阳光股份,房地产开发,2.58,2.55,13.92,0.2638522,1.1423756
s0188,000609,中迪投资,房地产开发,4.17,2.33,25.11,8.0772608,1.205154
s0189,000610,西安旅游,旅游酒店,16.25,4.82,26.18,53.511236,0.7949218
s0190,000612,焦作万方,有色金属,4.76,3.28,32.2,5.1175657,1.0853356
s0191,000615,奥园美谷,美容护理,0.0,3.19,29.95,-11.9207773,0.0
s0192,000617,中油资本,多元金融,7.44,4.32,26.77,13.8975501,0.8570196
s0193,000618,吉林化工,,0.0,None,None,None,None
s0194,000619,海螺新材,装修建材,5.87,4.5,24.28,6.9261881,1.0393912
s0195,000620,新华联,房地产开发,0.0,1.36,19.84,-7.3593074,0.0
s0196,000622,恒立实业,汽车零部件,3.65,3.65,5.92,0.0,0.9100697
s0197,000623,吉林敖东,化学制药,15.97,12.11,59.4,8.1624022,0.9609351
s0198,000625,长安汽车,汽车整车,12.42,10.88,14.85,38.790932,0.938872
s0199,000626,远大控股,贸易行业,7.07,5.29,135.45,1.3675476,1.0
s0200,000627,天茂集团,保险,2.99,2.29,17.3,4.6635576,1.0409379
s0201,000628,高新发展,工程建设,15.16,10.99,15.99,83.4,0.9586316
s0202,000629,钒钛股份,钢铁行业,3.83,1.88,7.87,32.5542571,0.8989576
s0203,000630,铜陵有色,有色金属,2.84,2.5,3.63,30.0884956,1.0425361
s0204,000631,顺发恒业,房地产开发,2.75,2.4,12.8,3.3653846,1.1969145
s0205,000632,三木集团,综合行业,4.02,2.97,7.29,24.3055556,0.9176386
s0206,000633,合金投资,小金属,6.81,3.12,28.38,14.608076,0.7143187
s0207,000635,英 力 特,化学原料,8.7,7.64,12.78,20.6225681,1.1842487
s0208,000636,风华高科,电子元件,15.6,5.05,39.69,30.4561201,1.1808781
s0209,000637,茂化实华,石油行业,0.0,3.23,14.49,-28.6856128,0.0
s0210,000638,万方发展,软件开发,5.81,5.68,9.3,3.5911602,0.9880715
s0211,000639,西王食品,食品饮料,4.54,3.6,41.0,2.513369,1.9126966
s0212,000650,仁和药业,中药,6.02,4.1,27.91,8.0638387,0.8088945
s0213,000651,格力电器,家电行业,36.16,12.65,70.56,40.5974788,0.7169181
s0214,000652,泰达股份,综合行业,3.9,3.58,5.0,22.5352113,1.3285148
s0215,000655,金岭矿业,钢铁行业,6.12,2.81,13.56,30.7906977,0.958404
s0216,000656,金科股份,房地产开发,1.18,0.77,34.7,1.2083702,0.8481945
s0217,000657,中钨高新,小金属,9.47,4.88,29.93,18.3233533,0.9966731
s0218,000659,珠海中富,包装材料,2.82,1.86,6.97,18.7866928,1.2223426
s0219,000661,长春高新,生物制品,138.15,26.65,683.78,16.9677233,0.6751831
s0220,000663,永安林业,装修建材,10.7,3.36,29.0,28.6271451,0.4023428
s0221,000665,湖北广电,文化传媒,5.6,3.17,29.5,9.2290163,0.9830124
s0222,000666,经纬纺机,多元金融,9.51,7.66,12.51,38.1443299,0.8626121
s0223,000667,美好置业,房地产开发,0.0,0.91,4.18,-27.8287462,0.0
s0224,000668,荣丰控股,医疗器械,10.89,10.2,14.55,15.862069,0.9298415
s0225,000670,盈方微,半导体,6.11,1.63,24.18,19.8669623,1.131002
s0226,000671,阳 光 城,房地产开发,0.0,1.35,2.47,-120.5357143,0.0
s0227,000672,上峰水泥,水泥建材,9.07,4.38,31.98,16.9927536,1.1396348
s0228,000676,智度股份,文化传媒,7.37,4.27,17.6,23.255814,1.0425928
s0229,000677,恒天海龙,化纤行业,2.64,2.19,9.43,6.2154696,0.9327169
s0230,000678,襄阳轴承,汽车零部件,6.01,3.36,18.07,18.0149558,1.427209
s0231,000679,大连友谊,商业百货,4.7,2.35,24.6,10.5617978,0.8484387
s0232,000680,山推股份,工程机械,5.48,2.66,25.57,12.3090354,0.5891466
s0233,000681,视觉中国,文化传媒,21.79,9.39,22.95,91.4454277,1.3251873
s0234,000682,东方电子,电网设备,9.34,6.9,9.94,80.2631579,0.9255112
s0235,000683,远兴能源,化学原料,6.65,1.57,13.54,42.4394319,0.8028406
s0236,000685,中山公用,公用事业,7.34,6.85,8.27,34.5070423,0.9554117
s0237,000686,东北证券,证券,7.08,6.26,8.33,39.6135266,0.7764176
s0238,000688,国城矿业,有色金属,15.43,6.71,25.18,47.2116946,1.3669971
s0239,000690,宝新能源,电力行业,6.82,4.69,7.95,65.3374233,1.242161
s0240,000691,亚太实业,化学制品,3.96,2.91,11.87,11.71875,0.9999313
s0241,000692,惠天热电,公用事业,0.0,2.15,14.5,-17.4089069,0.0
s0242,000695,滨海能源,造纸印刷,12.84,9.4,16.79,46.5493911,1.1411727
s0243,000697,炼石航空,航天航空,0.0,5.16,37.98,-15.7221207,0.0
s0244,000698,沈阳化工,石油行业,3.93,3.01,13.5,8.7702574,1.0838335
s0245,000700,模塑科技,汽车零部件,5.41,2.76,27.28,10.8075041,0.7379992
s0246,000701,厦门信达,商业百货,6.48,3.67,30.1,10.6318577,1.234991
s0247,000702,正虹科技,农牧饲渔,5.29,3.52,19.09,11.3680154,1.2340455
s0248,000703,恒逸石化,化纤行业,6.65,6.01,54.5,1.3198598,0.9539417
s0249,000705,浙江震元,医药商业,7.83,5.47,28.16,10.4010577,0.8399978
s0250,000707,双环科技,化学原料,8.22,7.86,12.68,7.4688797,0.7345003
s0251,000708,中信特钢,钢铁行业,15.01,5.04,36.01,32.1924443,1.0844509
s0252,000709,河钢股份,钢铁行业,2.23,1.71,7.12,9.6118299,0.9761609
s0253,000710,贝瑞基因,医疗器械,11.22,7.31,98.0,4.3113905,0.9170826
s0254,000711,京蓝科技,环保行业,0.0,1.31,35.5,-3.8315297,0.0
s0255,000712,锦龙股份,证券,12.27,7.22,55.17,10.531804,1.2080532
s0256,000713,丰乐种业,农牧饲渔,8.74,4.02,21.87,26.442577,1.0582642
s0257,000715,中兴商业,商业百货,7.24,3.78,21.48,19.5480226,0.7811025
s0258,000716,黑芝麻,食品饮料,6.68,2.53,25.55,18.0278019,0.5791294
s0259,000717,中南股份,钢铁行业,2.76,2.55,3.5,22.1052632,0.953368
s0260,000718,苏宁环球,房地产开发,2.68,2.68,3.69,0.0,1.2230314
s0261,000719,中原传媒,文化传媒,13.87,6.17,34.98,26.726831,0.8509566
s0262,000720,新能泰山,电网设备,4.87,1.73,17.01,20.5497382,1.0262099
s0263,000721,西安饮食,旅游酒店,12.99,3.22,22.35,51.0716153,0.7045146
s0264,000722,湖南发展,电力行业,11.09,4.71,33.85,21.8943034,0.741944
s0265,000723,美锦能源,煤炭行业,6.7,3.11,25.18,16.266425,1.3738687
s0266,000725,京东方Ａ,光学光电子,3.98,3.22,4.54,57.5757576,0.8982304
s0267,000726,鲁  泰Ａ,纺织服装,6.38,5.41,20.5,6.4280981,0.9496436
s0268,000727,冠捷科技,光学光电子,2.17,1.14,18.82,5.8257919,1.7866051
s0269,000728,国元证券,证券,6.53,6.15,9.23,12.3376623,1.3462893
s0270,000729,燕京啤酒,酿酒行业,12.65,4.86,23.88,40.9568875,0.5449684
s0271,000731,四川美丰,化肥行业,7.93,7.6,11.5,8.4615385,1.0021103
s0272,000733,振华科技,电子元件,90.74,10.8,142.83,60.5468454,0.8956202
s0273,000735,罗 牛 山,农牧饲渔,6.46,3.72,17.84,19.4050992,1.3402657
